DATE,DFF
5/1/2019,2.390967742
6/1/2019,2.377666667
7/1/2019,2.402903226
8/1/2019,2.125806452
9/1/2019,2.043
10/1/2019,1.829677419
11/1/2019,1.553333333
12/1/2019,1.550967742
1/1/2020,1.550645161
2/1/2020,1.583103448
3/1/2020,0.652258065
4/1/2020,0.049
5/1/2020,0.05
6/1/2020,0.077666667
7/1/2020,0.092580645
8/1/2020,0.09516129
9/1/2020,0.09
10/1/2020,0.09
11/1/2020,0.086333333
12/1/2020,0.09
1/1/2021,0.08516129
2/1/2021,0.075714286
3/1/2021,0.069677419
4/1/2021,0.069
5/1/2021,0.058064516
6/1/2021,0.078
7/1/2021,0.098064516
8/1/2021,0.092258065
9/1/2021,0.079333333
10/1/2021,0.079032258
11/1/2021,0.079666667
12/1/2021,0.079677419
1/1/2022,0.079354839
2/1/2022,0.08
3/1/2022,0.200967742
4/1/2022,0.33
5/1/2022,0.765483871
6/1/2022,1.205
7/1/2022,1.675806452
8/1/2022,2.33
9/1/2022,2.555
10/1/2022,3.08
11/1/2022,.
